X;ch1;ch1_err;ch2;ch2_err;ch3;ch3_err
0.025;0;0;0;0;0;0
0.075;0;0;0;0;0;0
0.125;0;0;0;0;0;0
0.175;0;0;0;0;0;0
0.225;0;0;0;0;0;0
0.275;0;0;0;0;0;0
0.325;0;0;0;0;0;0
0.375;0;0;0;0;0;0
0.425;0;0;0;0;0;0
0.475;0;0;0;0;0;0
0.525;0;0;0;0;0;0
0.575;0;0;0;0;0;0
0.625;0.473333;0;0;0;0;0
0.675;0.14;0;0.06;0;0;0
0.725;0;0;0.00833333;0;0;0
0.775;0;0;0;0;0;0
0.825;0;0;0.00166667;0;0;0
0.875;0;0;0;0;0;0
0.925;0.183333;0;0.065;0;0;0
0.975;0.04;0;0.298333;0;0;0
1.025;0;0;0.0433333;0;0;0
1.075;0;0;0;0;0;0
1.125;0;0;0.00333333;0;0;0
1.175;0;0;0.00333333;0;0;0
1.225;0.106667;0;0.025;0;0;0
1.275;0.00333333;0;0.158333;0;0;0
1.325;0;0;0.0566667;0;0;0
1.375;0;0;0.0133333;0;0;0
1.425;0;0;0.00166667;0;0;0
1.475;0;0;0;0;0;0
1.525;0.01;0;0;0;0.00111111;0
1.575;0;0;0.04;0;0;0
1.625;0;0;0.0183333;0;0;0
1.675;0;0;0.02;0;0;0
1.725;0;0;0.00833333;0;0;0
1.775;0;0;0;0;0;0
1.825;0.00666667;0;0;0;0.00222222;0
1.875;0.00333333;0;0.02;0;0.00222222;0
1.925;0;0;0.00666667;0;0;0
1.975;0;0;0.005;0;0;0
2.025;0;0;0.00833333;0;0;0
2.075;0;0;0.00166667;0;0;0
2.125;0.01;0;0.00166667;0;0.00333333;0
2.175;0.00333333;0;0.0266667;0;0;0
2.225;0;0;0.00333333;0;0;0
2.275;0;0;0.005;0;0;0
2.325;0;0;0.00166667;0;0;0
2.375;0;0;0.005;0;0;0
2.425;0.00666667;0;0;0;0.00222222;0
2.475;0;0;0.01;0;0;0
2.525;0;0;0.00833333;0;0;0
2.575;0;0;0;0;0;0
2.625;0;0;0.005;0;0;0
2.675;0;0;0.00166667;0;0;0
2.725;0;0;0.00166667;0;0;0
2.775;0;0;0.005;0;0.00222222;0
2.825;0;0;0.005;0;0.00111111;0
2.875;0;0;0;0;0.00222222;0
2.925;0;0;0.00166667;0;0.00111111;0
2.975;0;0;0.00666667;0;0;0
3.025;0;0;0;0;0.00555556;0
3.075;0;0;0.00666667;0;0.0122222;0
3.125;0;0;0;0;0;0
3.175;0;0;0;0;0.00111111;0
3.225;0;0;0;0;0;0
3.275;0;0;0.00166667;0;0;0
3.325;0;0;0.00333333;0;0.00555556;0
3.375;0;0;0.00333333;0;0.0155556;0
3.425;0;0;0;0;0;0
3.475;0;0;0;0;0;0
3.525;0;0;0;0;0.00111111;0
3.575;0;0;0;0;0.00111111;0
3.625;0;0;0.00166667;0;0.0255556;0
3.675;0.00333333;0;0.01;0;0.03;0
3.725;0;0;0;0;0;0
3.775;0;0;0;0;0.00111111;0
3.825;0;0;0;0;0;0
3.875;0;0;0;0;0.00111111;0
3.925;0;0;0.00166667;0;0;0
3.975;0;0;0;0;0.00555556;0
4.025;0;0;0;0;0.00111111;0
4.075;0;0;0;0;0;0
4.125;0;0;0.00166667;0;0.00111111;0
4.175;0;0;0;0;0.00111111;0
4.225;0;0;0;0;0.00222222;0
4.275;0.00333333;0;0;0;0.00111111;0
4.325;0;0;0.00166667;0;0.00111111;0
4.375;0;0;0;0;0;0
4.425;0;0;0;0;0.00333333;0
4.475;0;0;0;0;0.00222222;0
4.525;0;0;0;0;0.00333333;0
4.575;0.00333333;0;0.00166667;0;0.00111111;0
4.625;0;0;0.00333333;0;0.00333333;0
4.675;0;0;0;0;0.00333333;0
4.725;0;0;0;0;0.00333333;0
4.775;0;0;0;0;0.00333333;0
4.825;0;0;0;0;0.00222222;0
4.875;0;0;0;0;0.00444444;0
4.925;0;0;0.00166667;0;0.00444444;0
4.975;0;0;0;0;0.00111111;0
